11:30:53.546 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:30:53.578 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 2, Vehicle{id=2, price=1, brand=FORD}, Customer{id=2, name=Alan Herold, address=Main St. 27, phone=368 987 124, email=alan.herold@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:30:53.596 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 3, Vehicle{id=3, price=4, brand=SKODA}, Customer{id=3, name=Tom Gober, address=Forest St. 51, phone=758 174 994, email=tom.gober@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:30:53.688 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:30:53.845 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:30:54.015 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:30:54.056 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 2, Vehicle{id=2, price=1, brand=FORD}, Customer{id=2, name=Alan Herold, address=Main St. 27, phone=368 987 124, email=alan.herold@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:30:54.076 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 3, Vehicle{id=3, price=4, brand=SKODA}, Customer{id=3, name=Tom Gober, address=Forest St. 51, phone=758 174 994, email=tom.gober@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:30:54.099 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info removed from the database
11:30:54.189 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:30:54.222 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 2, Vehicle{id=2, price=1, brand=FORD}, Customer{id=2, name=Alan Herold, address=Main St. 27, phone=368 987 124, email=alan.herold@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
